work_frequency,task_success_rate,verified_hours_worked,profile_age,	platform_activity_score,	task_variety,repayment_history,default_history,company_rating,karma_score
12,0.92,160,14,45,18,10,0,4.8,88
7,0.74,95,6,22,13,4,1,4.1,63
3,0.45,40,3,10,6,1,2,3.2,35
15,0.96,200,20,68,30,18,0,4.9,95
9,0.85,120,10,38,16,8,0,4.5,79
11,0.88,150,13,52,20,12,0,4.6,84
5,0.5,60,4,14,7,3,1,3.4,42
8,0.78,110,8,30,12,6,0,4.2,72
10,0.82,140,11,41,15,9,0,4.4,81
4,0.4,35,2,8,4,1,3,3.1,28
14,0.95,190,18,60,28,14,0,4.8,93
6,0.63,75,5,18,8,4,1,3.7,55
13,0.91,170,16,57,23,13,0,4.7,89
2,0.32,22,1,5,3,0,2,2.9,18
16,0.97,210,22,70,32,19,0,4.9,97
10,0.8,134,9,35,14,8,0,4.3,77
7,0.72,88,6,21,11,5,1,3.9,61
12,0.89,158,13,48,19,11,0,4.6,86
5,0.55,68,4,15,6,2,1,3.5,47
9,0.83,125,9,33,13,7,0,4.4,75
11,0.9,145,12,49,17,10,0,4.6,87
3,0.38,28,2,7,3,1,2,3,25
8,0.76,108,7,27,12,6,0,4.1,70
15,0.97,205,19,66,31,17,0,4.9,94
4,0.52,56,3,12,5,2,2,3.4,39
8,0.79,112,8,29,13,6,0,4.2,73
6,0.61,74,5,18,8,3,1,3.6,54
13,0.92,178,16,56,23,14,0,4.7,88
9,0.84,126,9,32,14,7,0,4.4,77
4,0.47,52,3,12,5,1,2,3.3,38
7,0.7,90,6,22,11,5,1,3.9,60
11,0.89,148,12,50,19,10,0,4.6,86
5,0.52,61,3,14,7,2,1,3.5,45
10,0.82,139,10,38,15,8,0,4.3,80
12,0.91,162,14,51,20,11,0,4.7,89
3,0.37,30,2,7,4,1,2,3,26
15,0.97,207,20,68,31,18,0,4.9,95
8,0.76,105,7,26,11,6,0,4.1,69
1,0.25,11,1,3,1,0,2,2.6,12
14,0.94,195,18,63,29,15,0,4.8,93
6,0.59,73,4,18,9,3,1,3.6,52
9,0.83,121,9,33,13,7,0,4.4,76
11,0.86,144,12,46,18,9,0,4.5,84
5,0.5,65,3,13,7,2,1,3.4,43
8,0.78,111,8,28,12,6,0,4.2,72
10,0.8,133,10,37,15,8,0,4.3,78
12,0.89,159,14,48,19,11,0,4.6,87
7,0.72,88,6,21,10,5,1,3.9,61
13,0.93,182,16,59,26,15,0,4.7,90
3,0.35,27,2,6,3,1,2,3,22
9,0.81,118,8,29,13,6,0,4.2,70
6,0.6,72,4,17,7,3,1,3.6,53
15,0.96,204,19,67,30,18,0,4.9,94
11,0.87,150,12,47,18,10,0,4.6,85
8,0.75,106,8,25,12,6,0,4,67
10,0.83,135,10,39,16,8,0,4.3,79
4,0.41,49,3,9,4,1,2,3.2,30
14,0.95,199,18,65,29,16,0,4.9,96
2,0.32,24,1,5,3,0,2,2.8,19
7,0.73,92,6,22,11,4,1,3.8,59
9,0.82,124,9,34,13,7,0,4.4,77
5,0.54,69,3,15,7,2,1,3.5,46
11,0.9,146,12,49,17,10,0,4.6,88
8,0.76,108,8,27,12,6,0,4.1,70
6,0.62,75,4,18,9,4,1,3.7,55
10,0.84,136,10,40,16,8,0,4.4,81
12,0.88,152,13,47,18,10,0,4.6,86
14,0.92,188,17,61,27,14,0,4.8,92
3,0.39,33,2,8,4,1,2,3.1,27
13,0.94,187,16,60,25,14,0,4.8,91
5,0.51,64,3,14,6,2,1,3.4,44
9,0.8,115,9,30,13,6,0,4.2,71
7,0.71,89,6,21,11,4,1,3.8,58
11,0.88,147,12,48,19,10,0,4.6,87
